interval,downloads_total
2020-01-23,195
2020-01-24,298
2020-01-25,253
2020-01-26,158
2020-01-27,947
2020-01-28,152
2020-01-29,153
2020-01-30,591
2020-01-31,421
2020-02-01,346
2020-02-02,173
2020-02-03,960
2020-02-04,431
2020-02-05,5626
2020-02-06,13685
2020-02-07,19359
2020-02-08,17514
2020-02-09,15956
2020-02-10,42953
2020-02-11,24186
2020-02-12,29853
2020-02-13,30557
2020-02-14,26099
2020-02-15,13175
2020-02-16,9800
2020-02-17,37284
2020-02-18,32675
2020-02-19,30377
2020-02-20,26484
2020-02-21,22461
2020-02-22,17596
2020-02-23,15342
2020-02-24,38406
2020-02-25,36783
2020-02-26,37337
2020-02-27,28454
2020-02-28,23690
2020-02-29,14744
2020-03-01,12756
2020-03-02,42714
2020-03-03,30431
2020-03-04,29665
2020-03-05,30332
2020-03-06,22220
2020-03-07,13484
2020-03-08,16416
2020-03-09,42087
2020-03-10,30609
2020-03-11,23232
2020-03-12,21555
2020-03-13,23267
2020-03-14,16068
2020-03-15,13560
2020-03-16,34087
2020-03-17,35314
2020-03-18,36904
2020-03-19,29956
2020-03-20,29123
2020-03-21,26330
2020-03-22,18771
2020-03-23,44692
2020-03-24,31142
2020-03-25,35114
2020-03-26,27975
2020-03-27,29838
2020-03-28,18223
2020-03-29,20530
2020-03-30,33318
2020-03-31,23121
2020-04-01,31286
2020-04-02,24372
2020-04-03,32621
2020-04-04,22724
2020-04-05,19381
2020-04-06,34203
2020-04-07,26639
2020-04-08,27120
2020-04-09,26203
2020-04-10,34416
2020-04-11,19989
2020-04-12,18397
2020-04-13,31097
2020-04-14,37336
2020-04-15,35733
2020-04-16,27326
2020-04-17,30304
2020-04-18,14416
2020-04-19,18168
2020-04-20,38029
2020-04-21,30952
2020-04-22,35135
2020-04-23,27449
2020-04-24,36370
2020-04-25,23184
2020-04-26,18832
2020-04-27,42922
2020-04-28,32474
2020-04-29,23758
2020-04-30,38185
2020-05-01,35840
2020-05-02,19405
2020-05-03,16742
2020-05-04,32858
2020-05-05,30657
2020-05-06,29622
2020-05-07,23987
2020-05-08,37404
2020-05-09,22047
2020-05-10,16368
2020-05-11,29356
2020-05-12,32128
2020-05-13,26269
2020-05-14,29663
2020-05-15,34510
2020-05-16,18465
2020-05-17,18585
2020-05-18,36816
