interval,total
2020-01-23,63
2020-01-24,137
2020-01-25,98
2020-01-26,76
2020-01-27,686
2020-01-28,112
2020-01-29,55
2020-01-30,486
2020-01-31,274
2020-02-01,198
2020-02-02,117
2020-02-03,660
2020-02-04,325
2020-02-05,2980
2020-02-06,6379
2020-02-07,11291
2020-02-08,9694
2020-02-09,8101
2020-02-10,29206
2020-02-11,15064
2020-02-12,19566
2020-02-13,20968
2020-02-14,16859
2020-02-15,7368
2020-02-16,5702
2020-02-17,24455
2020-02-18,21454
2020-02-19,19512
2020-02-20,17039
2020-02-21,14223
2020-02-22,11850
2020-02-23,10070
2020-02-24,28526
2020-02-25,23383
2020-02-26,25378
2020-02-27,19622
2020-02-28,14279
2020-02-29,8715
2020-03-01,7364
2020-03-02,29753
2020-03-03,21514
2020-03-04,20747
2020-03-05,21790
2020-03-06,13741
2020-03-07,8143
2020-03-08,10271
2020-03-09,30611
2020-03-10,21233
2020-03-11,15217
2020-03-12,15778
2020-03-13,15070
2020-03-14,8765
2020-03-15,8182
2020-03-16,22836
2020-03-17,22330
2020-03-18,23219
2020-03-19,18594
2020-03-20,18339
2020-03-21,14706
2020-03-22,10399
2020-03-23,30308
2020-03-24,19219
2020-03-25,20488
2020-03-26,16194
2020-03-27,16862
2020-03-28,9636
2020-03-29,9704
2020-03-30,20765
2020-03-31,13558
2020-04-01,16749
2020-04-02,14784
2020-04-03,19630
2020-04-04,13000
2020-04-05,9475
2020-04-06,20458
2020-04-07,16264
2020-04-08,15650
2020-04-09,16124
2020-04-10,19601
2020-04-11,10715
2020-04-12,10044
2020-04-13,19523
2020-04-14,24747
2020-04-15,22317
2020-04-16,17056
2020-04-17,17411
2020-04-18,8094
2020-04-19,9299
2020-04-20,24549
2020-04-21,19137
2020-04-22,20918
2020-04-23,15507
2020-04-24,20106
2020-04-25,10891
2020-04-26,9807
2020-04-27,26161
2020-04-28,18018
2020-04-29,13359
2020-04-30,22114
2020-05-01,19581
2020-05-02,10461
2020-05-03,8764
2020-05-04,19918
2020-05-05,18022
2020-05-06,19355
2020-05-07,14323
2020-05-08,23336
2020-05-09,10937
2020-05-10,9015
2020-05-11,18594
2020-05-12,18060
2020-05-13,16110
2020-05-14,17642
2020-05-15,22582
2020-05-16,10266
2020-05-17,9407
2020-05-18,21627
2020-05-19,17532
2020-05-20,22894
2020-05-21,19461
2020-05-22,22616
2020-05-23,12042
2020-05-24,8889
2020-05-25,13089
2020-05-26,17518
2020-05-27,20293
2020-05-28,19797
2020-05-29,19619
2020-05-30,9151
2020-05-31,6829
2020-06-01,19010
2020-06-02,12679
2020-06-03,14960
2020-06-04,16478
2020-06-05,20707
2020-06-06,9807
2020-06-07,7889
2020-06-08,21870
2020-06-09,16250
2020-06-10,17236
2020-06-11,20693
2020-06-12,21415
2020-06-13,10887
2020-06-14,8152
2020-06-15,24857
2020-06-16,21142
2020-06-17,17703
2020-06-18,18927
