Podcast Title,Total Downloads,Total Listeners,Average Downloads
10ish Podcast,66399,2931,535.47
2 Much Grit 2 Quit with Shelley Till,0,0,0.0
34 Rings Podcast ,127,119,21.16
49ers Rush Podcast with John Chapman,131592,9672,475.06
4th & Gold Podcast,15868,3799,174.37
52 Weeks of Hustle,8266,897,217.52
A City Of Champions: Cleveland Cavaliers 2016 Championship,125,97,15.62
Adonis Football Podcast,173,88,8.65
Air Buds,92045,4210,428.11
All Eyez on Cleveland podcast,434,262,6.88
Always Cheating: A Fantasy Premier League Podcast (FPL),792030,60694,3011.52
American Prodigy: Freddy Adu,192724,89232,19272.4
A Touch More with Megan Rapinoe & Sue Bird,27050,16665,2705.0
Backseat GM Podcast,73,24,7.29
Battle for LA Podcast - ClutchPoints,36236,1271,517.65
Bear-ly Hibernating Podcast,234,85,23.39
Better Rivals: A San Francisco 49ers Podcast,149228,22443,5739.53
Big Blue Banter: A New York Giants Football Podcast,239486,10066,1384.31
Big Screen Sports - The Sports Movie Podcast,57121,1653,442.79
Bleeding Purple: A Minnesota Vikings Pod,21684,2209,105.26
Blue Wire Buckets,0,0,0.0
Blue Wire Buckets,570,459,25.9
Bogey Free,2802,418,70.04
Brooklyn Buzz: A Brooklyn Nets Podcast,56495,1985,161.41
Bulls HQ,40732,4356,278.98
Burn It All Down,137901,8741,505.13
Burst Your Bubble,501,149,5.89
Buzz Beat: A Charlotte Hornets Pod,37505,3406,184.75
Candlestick Chronicles: A 49ers Pod,258420,9623,1367.3
Cash Considerations: A Chicago Bulls Pod,110024,8003,833.51
Chicago Shuffle: A Chicago Bears Pod,9550,1494,180.18
Clip & Roll,28521,2934,375.27
Clock Dodgers - NFL Fantasy Football Podcast,12498,945,51.85
College Football Fantasy Pod,3568,329,44.04
College to Canton,5872,1182,209.71
Cubs Related: A Chicago Cubs Podcast,114413,9154,339.5
Dead Ball Brothers,8647,585,109.45
Destination Devy Podcast,133372,12208,1111.43
Did you Hear?,621,177,36.52
Don't Tell Mom,9886,1858,282.45
Draft SZN: Fantasy Sports & Entertainment Podcast,758,323,31.58
Dropping the Gloves,706190,14088,3678.07
Dunks and Discourse,9232,995,139.87
Dynasty Command Center Podcast,44955,14684,788.68
Dynasty Tradecast,68870,3067,412.39
Establish the Pass - ClutchPoints,10392,409,78.72
Fangirl Playbook,1318,182,18.82
Fantasy Football Mailbag,11541,1133,101.23
Fantasy Football Report,8441,1162,86.13
Fin It To Win It: A Miami Dolphins Pod,26297,3223,324.65
Forever Mighty Podcast,10300,1545,61.3
Frienemies,232,152,33.14
From My Point of View,32,13,0.31
Front and Center with Lisa and Chiney,5773,1896,444.07
Front Office Features,14845,1059,124.74
Full Slate: A Gambling Podcast,42921,696,230.75
George's Box - Yankees MLB Podcast,82745,5616,909.28
Get My Job,3065,421,78.58
Gino Time: A Boston Celtics Podcast,17078,2389,200.91
Golden Edge - Vegas Golden Knights Hockey,59484,3097,424.88
Golden Goal: Stories of Soccer Legends,6345,3128,634.5
Go Long with Dunne & Monos,4965,2700,620.62
Grits and Grinds: Memphis Grizzlies,30067,1801,313.19
Gyro Step: A Milwaukee Bucks Pod,44706,2839,277.67
Hardwood Knocks: An NBA Podcast,152379,6056,353.54
Helliepod,6810,1059,158.37
Here's Where it Went Wrong ,19961,3165,831.7
High Stakes Lowdown,7229,784,82.14
In The N.O. - A New Orleans Pelicans Pod,59313,4114,153.26
Irish Breakdown,66308,7605,920.94
It's Always Draft SZN,1012,635,112.44
Juke Sports ,29,16,1.11
Just Another Day Podcast,77,65,12.83
Keeping It 300: A Raiders Podcast,52951,4912,529.5
Kings Pulse: A Sacramento Kings Podcast,69829,3913,329.38
Knicks Film School,10072,7578,52.45
Laker Film Room - Dedicated to the Study of Lakers Basketball,1049798,34815,6729.47
Lakers Unfiltered ,219,87,7.82
LAN Parties: A Video Gaming and Esports Podcast,9393,1075,170.78
Last Call with Chris Connor,98,16,2.88
Laying the Points,960,569,12.15
Let's Catch Up: An NFL Podcast with Taylor Bisciotti and Sam Betesh,5075,388,83.19
Light Years: A Golden State Warriors Pod,348313,22139,1903.34
Limited Upside,8614,2702,358.91
London Is Blue - Chelsea FC Soccer Podcast,638104,0,1192.71
Mavs Step Back Podcast,10833,5780,108.32
Michigan State of Mind,30689,1996,393.44
Mob Squad Pod,152,55,5.62
Motor City Hardball,172,99,24.57
Murf's Fan Cave,2183,1102,10.75
MySportsUpdate Football Podcast,22613,2556,426.66
NBA Storytime,875,817,875.0
No Dayz Off,7,7,7.0
OBR Film Breakdown,133963,8620,847.86
OH!!!: A Sopranos Podcast,7268,770,158.0
On the Daily,6204,741,39.01
On the Hook with Abner Mares,2265,644,151.0
On the Mic,0,0,0.0
Orange and Brown Report,71817,2769,548.22
Pack-A-Day: Your Daily Packers Podcast,545062,14637,593.74
Pistons vs. Everybody,13493,3157,329.09
Powder Blue Review: An LA Chargers Pod,1950,802,40.62
Preediction,130727,1265,346.75
Press Coverage,3023,1979,111.96
Press Pass,4372,200,40.48
Prospects 101: A College Football Show ,15932,493,185.25
Puck Bunnies,26060,4798,361.94
Purple Insider - a Minnesota Vikings and NFL podcast,571225,9940,2584.72
Raider Cody Podcast - Las Vegas Raiders Fan Show,138369,6716,1040.36
Raider Take Podcast,789,154,21.32
Rams Talk Radio,13039,4598,24.14
Random Acts of Podcasting,10413,2111,306.26
Red Nation Hoops: A Houston Rockets Pod,26780,3522,162.3
RJ Ringside: An MMA & Boxing Pod,2975,318,60.71
Rocky Mountain Hoops,41292,2573,192.05
RotoViz Fantasy Football Show,105555,2051,270.65
RotoViz Overtime,78765,2211,414.55
Rotoviz Radio,1151104,4565,1351.06
Snapback Sports NFL Draft Show,191,73,12.73
Sports Biz Pod,4057,389,57.14
Sprint Right Option Podcast,411,193,31.61
State of Miami,8831,3165,304.51
SteelerNation.com Podcast,1,1,0.01
SteelerNation.com Podcast,2807,162,24.4
